segment,local_ha,acc_ha,successor,cells,components,dist_med_m,dist_p95_m,dist_max_m,climb_mean_m,climb_p50_m,climb_p95_m,climb_max_m,frac_gt_0p1,frac_gt_0p5,frac_gt_1,frac_gt_2,nome_rio,nova_class,obs,st_length_,flag_pixels_gt1,flag_pixels_gt2,flag_max_climb_m,uncertainty_flag
6805,4.08,453.5799999999999,29008.0,408,1,254.8888757187576,494.3647662738946,554.7144483000245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água,Trecho largura acima de 10 metros,52.667859845,0,0,0.0,
6830,0.11,2.85,13413.0,11,1,19.129474489073846,33.33115073243074,37.81593610886927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),Confirmado em vistoria por AG e LF - 19/02/19,16.2851483033,0,0,0.0,
6908,0.87,332.42999999999995,27110.0,87,1,37.32223730582022,88.88634270568379,105.78794006376536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água,,71.3318443292,0,0,0.0,
7125,0.46,0.46,19026.0,46,1,29.572362603465304,74.50052655757496,88.80628429276359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,34.9216672317,0,0,0.0,
7309,2.12,2.12,29298.0,212,1,31.16227718202316,92.16124851032632,111.27819701920234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,Este trecho necessita confirmação em campo,196.596112815,0,0,0.0,
7561,22.37,449.5,6805.0,2237,1,209.6139953903908,412.7052402177287,489.9230175642239,0.0264418534418275,0.0,0.2086721420288081,0.9619786739349364,0.0639248994188645,0.0192221725525257,0.0,0.0,Rio Guaxanduva,Corpo d'Água,Trecho largura acima de 10 metros.  Art. 9º LC601/2022,240.030983057,0,0,0.0,
8161,0.77,6.949999999999999,13777.0,77,1,45.94257903686687,145.4937845486795,157.59046471373512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),,49.0837074566,0,0,0.0,
8211,3.29,13.41,9274.0,329,1,99.78494353922628,268.28888331979607,293.4392786830476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,90.8466146299,0,0,0.0,
8272,0.74,427.13,7561.0,74,1,38.08469523478075,113.98204292268794,118.62502013771888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água,Trecho largura acima de 10 metros,63.3249531032,0,0,0.0,
9236,1.44,206.18,11244.0,144,1,186.84570397285063,521.8615852959018,570.336279614639,0.0003508792983161,0.0,0.0,0.0505266189575195,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada),,28.0194445389,0,0,0.0,
9274,10.0,23.41,21536.0,1000,1,379.2707462941342,572.2442948097819,605.8210164646538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),,120.353117354,0,0,0.0,
